Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
105	14:48:56	20019	1106.810	1318.208	613.714	569.733	791.833	622.929	645.870	612.833	483.625	742.700	1046.111	313.722	679.000	858.611	651.654	378.556	980.357	465.182	
106	14:48:56	20157	1120.931	1328.083	628.143	580.000	791.833	644.714	663.674	582.083	461.292	739.300	1105.778	284.667	704.167	796.333	662.654	340.222	991.643	438.182	
107	14:48:56	20295	1046.362	1252.917	621.214	592.667	769.833	659.357	635.978	619.500	498.042	718.000	1083.889	286.278	702.056	820.167	685.577	319.000	1060.000	419.500	
108	14:48:56	20434	1078.672	1268.458	624.000	572.033	782.611	625.929	594.196	619.250	454.750	655.200	1134.389	327.556	688.667	811.333	650.423	370.667	1040.429	410.500	
109	14:48:56	20572	1091.948	1342.208	603.143	569.533	828.722	653.286	638.739	635.000	488.833	700.900	1051.944	290.056	702.000	832.833	688.654	344.222	979.571	416.591	
110	14:48:56	20710	1151.621	1274.958	586.000	541.000	838.000	626.857	645.913	614.458	485.708	698.600	1111.278	311.778	685.056	847.056	682.423	375.667	1030.286	443.091	
111	14:48:56	20848	1138.552	1282.417	628.286	610.300	785.056	655.286	664.435	579.750	491.500	690.100	1045.833	290.667	697.556	882.944	678.423	338.000	1054.857	416.455	
112	14:48:56	20986	1088.241	1265.583	592.429	601.700	819.778	625.000	617.174	623.583	492.875	648.000	1091.389	274.333	697.000	845.667	677.731	316.722	1004.357	394.636	
113	14:48:56	21125	1048.655	1179.292	631.143	536.600	780.944	694.357	585.565	570.500	430.917	680.900	1046.833	261.556	637.278	848.056	656.962	312.389	1017.357	392.909	
114	14:48:56	21263	1116.914	1229.750	608.929	555.167	853.000	642.643	620.804	602.833	500.958	683.400	1043.500	290.500	669.833	828.000	649.846	324.833	1076.000	423.318	
115	14:48:56	21401	1151.828	1262.792	559.857	614.667	795.000	654.643	660.870	587.250	470.000	660.000	1059.000	314.222	668.333	843.722	668.500	341.500	1060.429	453.909	
116	14:48:56	21539	1143.052	1253.875	560.214	573.700	777.556	670.786	624.022	567.667	486.375	701.700	1045.722	299.333	693.889	876.000	628.269	328.000	993.286	403.045	
117	14:48:56	21678	1061.034	1260.458	523.857	524.333	730.833	607.000	637.783	601.667	483.792	721.300	1009.833	291.333	721.722	856.556	660.962	290.167	1018.643	412.182	
118	14:48:56	21816	1064.552	1329.375	531.071	568.567	727.111	616.786	622.065	627.250	471.125	705.400	1079.889	283.722	620.278	799.056	637.154	337.944	984.714	390.818	
119	14:48:56	21954	1145.914	1303.125	547.786	558.600	765.833	612.571	641.391	547.167	475.083	735.500	1061.611	284.611	665.722	855.500	693.500	348.056	1018.857	465.227	
120	14:48:56	22092	1138.345	1325.042	628.286	574.533	847.222	668.929	613.457	602.875	465.125	696.900	1088.833	331.944	647.556	813.222	651.423	317.111	1062.857	434.591	
